mcs10_b03_s40.A00 12.675977 50 mcs10 bvg 40
mcs10_b03_s40.A01 86.439270 3902 mcs10 bvg 40
mcs10_b03_s40.A02 20.476290 192 mcs10 bvg 40
mcs10_b03_s40.A03 5.059885 600 mcs10 bvg 40
mcs10_b03_s40.A04 5.316196 1812 mcs10 bvg 40
mcs10_b03_s40.A05 37.635456 224 mcs10 bvg 40
mcs10_b03_s40.A06 5.173475 473 mcs10 bvg 40
mcs10_b03_s40.A07 1.567837 302 mcs10 bvg 40
mcs10_b03_s40.A08 12.590747 110 mcs10 bvg 40
mcs10_b03_s40.A09 9.115055 167 mcs10 bvg 40
mcs10_b03_s40.A10 33.047066 12 mcs10 bvg 40
mcs10_b03_s40.A11 14.786233 249 mcs10 bvg 40
mcs10_b03_s40.A12 10.193156 341 mcs10 bvg 40
mcs10_b03_s40.A13 0.036212 76 mcs10 bvg 40
mcs10_b03_s40.A14 24.867144 40 mcs10 bvg 40
mcs10_b03_s40.A15 0.290458 65 mcs10 bvg 40
mcs10_b03_s40.A16 40.104584 2253 mcs10 bvg 40
mcs10_b03_s40.A17 12.241990 43529 mcs10 bvg 40
mcs10_b03_s40.A18 164.522873 178 mcs10 bvg 40
mcs10_b03_s40.A19 129.079651 1414 mcs10 bvg 40
mcs10_b03_s40.A20 54.698944 532 mcs10 bvg 40
mcs10_b03_s40.A21 36.749336 906 mcs10 bvg 40
mcs10_b03_s40.A22 30.840988 506 mcs10 bvg 40
mcs10_b03_s40.A23 16.205873 487 mcs10 bvg 40
mcs10_b03_s40.A24 33.249077 119 mcs10 bvg 40
mcs10_b03_s40.A25 131.564819 754 mcs10 bvg 40
mcs10_b03_s40.A26 5.742120 54 mcs10 bvg 40
mcs10_b03_s40.A27 8.269013 9 mcs10 bvg 40
mcs10_b03_s40.A28 35.725765 28 mcs10 bvg 40
mcs10_b03_s40.A29 52.356667 22 mcs10 bvg 40
mcs10_b03_s40.A30 8.475587 188 mcs10 bvg 40
mcs10_b03_s40.A31 45.596600 1646 mcs10 bvg 40
mcs10_b03_s40.A32 4.411040 471 mcs10 bvg 40
mcs10_b03_s40.A33 18.777779 1136 mcs10 bvg 40
mcs10_b03_s40.A34 23.859987 128 mcs10 bvg 40
