name cp-unconnected-plain cp-fc-unconnected-plain clique-unconnected-plain mcssize generator vertices
mcs10_r005_s20.A87 0.699547 0.273263 94 mcs10 rand 20
mcs10_r005_s20.A88 0.129789 0.092045 53 mcs10 rand 20
mcs10_r005_s20.A89 2.592697 1.251823 427 mcs10 rand 20
mcs10_r005_s20.A90 0.272694 0.105276 270 mcs10 rand 20
mcs10_r005_s20.A91 3.477136 2.303861 1377 mcs10 rand 20
mcs10_r005_s20.A92 0.233216 0.061335 73 mcs10 rand 20
mcs10_r005_s20.A93 0.212852 0.055933 34 mcs10 rand 20
mcs10_r005_s20.A94 0.033030 0.012453 34 mcs10 rand 20
mcs10_r005_s20.A95 0.769436 0.244311 74 mcs10 rand 20
mcs10_r005_s20.A96 14.652682 7.184820 207 mcs10 rand 20
mcs10_r005_s20.A97 1.094103 0.485594 201 mcs10 rand 20
mcs10_r005_s20.A98 0.933933 0.369982 60 mcs10 rand 20
mcs10_r005_s20.A99 0.049949 0.014427 32 mcs10 rand 20
mcs10_r005_s25.A00 132.234589 113.721321 1432 mcs10 rand 25
mcs10_r005_s25.A01 2.977743 0.621690 1433 mcs10 rand 25
mcs10_r005_s25.A02 1.618885 0.307058 1588 mcs10 rand 25
mcs10_r005_s25.A03 8.755442 1.931273 5182 mcs10 rand 25
mcs10_r005_s25.A04 8.255465 1.707587 25229 mcs10 rand 25
mcs10_r005_s25.A05 3.592768 0.978302 1644 mcs10 rand 25
mcs10_r005_s25.A06 9.771693 1.851504 12311 mcs10 rand 25
mcs10_r005_s25.A07 1.683411 0.753158 491 mcs10 rand 25
mcs10_r005_s25.A08 8.302412 1.829678 3708 mcs10 rand 25
mcs10_r005_s25.A09 15.039158 4.672490 6459 mcs10 rand 25
mcs10_r005_s25.A10 24.820536 8.326695 8733 mcs10 rand 25
mcs10_r005_s25.A11 7.639613 1.778898 5647 mcs10 rand 25
mcs10_r005_s25.A12 188.161407 67.114761 39721 mcs10 rand 25
mcs10_r005_s25.A13 6.774476 1.792880 52903 mcs10 rand 25
mcs10_r005_s25.A14 8.009927 2.476106 2177 mcs10 rand 25
mcs10_r005_s25.A15 39.703480 10.455510 4439 mcs10 rand 25
mcs10_r005_s25.A16 5.237719 1.276916 1811 mcs10 rand 25
mcs10_r005_s25.A17 0.847253 0.219430 3727 mcs10 rand 25
mcs10_r005_s25.A18 1.790900 0.561815 757 mcs10 rand 25
mcs10_r005_s25.A19 4.409707 1.313078 6853 mcs10 rand 25
mcs10_r005_s25.A20 1.800621 0.477065 5545 mcs10 rand 25
mcs10_r005_s25.A21 16.775015 5.212346 5636 mcs10 rand 25
mcs10_r005_s25.A22 8.988052 2.050594 4386 mcs10 rand 25
