mcs10_b03_s40.A00 0.007054 0.002001 0.005884 12 mcs10 bvg 40
mcs10_b03_s40.A01 0.006646 0.002289 0.005111 11 mcs10 bvg 40
mcs10_b03_s40.A02 0.007944 0.002250 0.006463 13 mcs10 bvg 40
mcs10_b03_s40.A03 0.151932 0.002311 0.005075 13 mcs10 bvg 40
mcs10_b03_s40.A04 0.011000 0.002012 0.004929 11 mcs10 bvg 40
mcs10_b03_s40.A05 0.007799 0.002472 0.005870 12 mcs10 bvg 40
mcs10_b03_s40.A06 0.008197 0.002328 0.005557 13 mcs10 bvg 40
mcs10_b03_s40.A07 0.759711 0.002096 0.005434 12 mcs10 bvg 40
mcs10_b03_s40.A08 0.005885 0.001977 0.005958 11 mcs10 bvg 40
mcs10_b03_s40.A09 0.006929 0.002187 0.005627 13 mcs10 bvg 40
mcs10_b03_s40.A10 0.007489 0.002145 0.005095 11 mcs10 bvg 40
mcs10_b03_s40.A11 0.008522 0.002196 0.005102 12 mcs10 bvg 40
mcs10_b03_s40.A12 0.009681 0.002392 0.005488 13 mcs10 bvg 40
mcs10_b03_s40.A13 0.004735 0.001794 0.003781 8 mcs10 bvg 40
mcs10_b03_s40.A14 0.006096 0.002212 0.005335 11 mcs10 bvg 40
mcs10_b03_s40.A15 0.004569 0.001773 0.004405 8 mcs10 bvg 40
mcs10_b03_s40.A16 0.006607 0.002185 0.005348 11 mcs10 bvg 40
mcs10_b03_s40.A17 0.008207 0.002377 0.005298 11 mcs10 bvg 40
mcs10_b03_s40.A18 0.006479 0.002469 0.006542 13 mcs10 bvg 40
mcs10_b03_s40.A19 0.008156 0.002428 0.005506 14 mcs10 bvg 40
mcs10_b03_s40.A20 0.006477 0.002440 0.006716 15 mcs10 bvg 40
mcs10_b03_s40.A21 0.006359 0.002307 0.005680 12 mcs10 bvg 40
mcs10_b03_s40.A22 0.007182 0.002258 0.006270 13 mcs10 bvg 40
mcs10_b03_s40.A23 0.008193 0.002197 0.005764 12 mcs10 bvg 40
mcs10_b03_s40.A24 0.007575 0.002293 0.005907 11 mcs10 bvg 40
mcs10_b03_s40.A25 0.026842 0.002140 0.005173 13 mcs10 bvg 40
mcs10_b03_s40.A26 0.005381 0.001819 0.005132 11 mcs10 bvg 40
mcs10_b03_s40.A27 0.005653 0.002021 0.005524 10 mcs10 bvg 40
mcs10_b03_s40.A28 0.005909 0.002103 0.006100 10 mcs10 bvg 40
mcs10_b03_s40.A29 0.006912 0.002334 0.005913 14 mcs10 bvg 40
mcs10_b03_s40.A30 0.005626 0.001960 0.004650 11 mcs10 bvg 40
mcs10_b03_s40.A31 0.008046 0.002399 0.005603 14 mcs10 bvg 40
mcs10_b03_s40.A32 0.005608 0.001865 0.004738 10 mcs10 bvg 40
mcs10_b03_s40.A33 0.010252 0.002440 0.006165 17 mcs10 bvg 40
mcs10_b03_s40.A34 0.007138 0.002145 0.007194 13 mcs10 bvg 40
mcs10_b03_s40.A35 0.007189 0.002228 0.006612 13 mcs10 bvg 40
mcs10_b03_s40.A36 0.009228 0.002725 0.008099 18 mcs10 bvg 40
mcs10_b03_s40.A37 0.007192 0.002201 0.006710 14 mcs10 bvg 40
mcs10_b03_s40.A38 0.006613 0.002312 0.006519 14 mcs10 bvg 40
mcs10_b03_s40.A39 0.005780 0.001858 0.005852 10 mcs10 bvg 40
mcs10_b03_s40.A40 0.006837 0.002675 0.006479 13 mcs10 bvg 40
mcs10_b03_s40.A41 0.013577 0.002716 0.005840 13 mcs10 bvg 40
